 Node            Displacements                Applied/reaction forces
number     1-direction     2-direction      1-direction     2-direction
   436     0.000035574    -0.000465431     -0.000000003    -0.000000089
   437     0.000049976    -0.000479887      0.000000004    -0.000000030
   438     0.000064067    -0.000480321     -0.000000002     0.000000041
   439     0.000049515    -0.000466122     -0.000000014     0.000000089
   440    -0.000054457    -0.000454068     -0.000000015    -0.000000004
   441    -0.000042093    -0.000452714     -0.000000005     0.000000060
   442    -0.000066897    -0.000455153     -0.000000017     0.000000026
   443    -0.000029617    -0.000451640     -0.000000001     0.000000048
   444    -0.000079453    -0.000455506      0.000000007     0.000000056
   445    -0.000017106    -0.000450721      0.000000014     0.000000034
   446    -0.000092029    -0.000455610     -0.000000015    -0.000000034
   447    -0.000004494    -0.000450213     -0.000000006     0.000000071
   448    -0.000105115    -0.000455285     -0.000000020    -0.000000067
   449     0.000008224    -0.000450134     -0.000000013    -0.000000004
   450    -0.000118256    -0.000454833      0.000000031    -0.000000093
   451     0.000021565    -0.000450956      0.000000022    -0.000000123
   452    -0.000131793    -0.000454131      0.000000038    -0.000000015
   453     0.000035133    -0.000451709      0.000000005    -0.000000019
   454    -0.000145908    -0.000453425     -0.000000006    -0.000000078
   455    -0.000159499    -0.000453678      0.000000005 ***************
   456     0.000049011    -0.000452410     -0.000000004     0.000000048
   457     0.000063554    -0.000466568     -0.000000013    -0.000000004
   458     0.000062992    -0.000452868     -0.000000004     0.000000004
   459    -0.000054415    -0.000440308     -0.000000001    -0.000000097
   460    -0.000042073    -0.000439030      0.000000002    -0.000000011
   461    -0.000066757    -0.000441370      0.000000008    -0.000000022
   462    -0.000029688    -0.000437899      0.000000010    -0.000000037
   463    -0.000079261    -0.000441902      0.000000000     0.000000115
   464    -0.000017287    -0.000437031      0.000000003    -0.000000037
   465    -0.000091839    -0.000441872      0.000000005    -0.000000026
   466    -0.000004774    -0.000436527      0.000000001     0.000000037
